aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;12936;29860
;2;12938;29866
;3;12939;29871
;4;12938;29873
;5;12938;29872
;6;12938;29869
;7;12938;29867
;8;12938;29865
;9;12938;29868
;10;12938;29870
;11;12938;29872
;12;12938;29872
;13;12938;29873
;14;12939;29867
;15;12938;29856
;16;12938;29856
;17;12938;29870
;18;12939;29852
;19;12939;29866
;20;12939;29852
;21;12938;29856
;22;12938;29867
;23;12938;29864
;24;12938;29864
;25;12939;29862
;26;12939;29866
;27;12938;29873
;28;12939;29869
;29;12938;29872
;30;12937;29867
;31;12938;29867
;32;12938;29856
;33;12939;29872
;34;12938;29868
;35;12939;29870
;36;12938;29872
;37;12938;29859
;38;12939;29859
;39;12938;29873
;40;12938;29864
;41;12938;29861
;42;12937;29870
;43;12938;29870
;44;12938;29865
;45;12939;29872
;46;12939;29848
;47;12938;29868
;48;12939;29865
;49;12938;29863
;50;12937;29856
;51;12938;29872
;52;12939;29864
;53;12938;29871
;54;12938;29870
;55;12939;29857
;56;12938;29861
;57;12938;29866
;58;12938;29861
;59;12938;29864
;60;12938;29872
;61;12939;29865
;62;12938;29872
;63;12938;29873
;64;12939;29867
;65;12938;29867
;66;12938;29870
;67;12938;29870
;68;12939;29860
;69;12939;29872
;70;12938;29857
;71;12939;29862
;72;12936;29869
;73;12938;29867
;74;12938;29869
;75;12939;29864
;76;12939;29866
;77;12939;29864
;78;12938;29873
;79;12939;29862
;80;12938;29867
;81;12936;29864
;82;12939;29867
;83;12938;29870
;84;12938;29859
;85;12938;29862
;86;12938;29870
;87;12939;29872
;88;12938;29870
;89;12938;29864
;90;12938;29872
;91;12938;29869
;92;12939;29861
;93;12938;29869
;94;12938;29859
;95;12939;29857
;96;12939;29864
;97;12938;29873
;98;12936;29867
;99;12938;29853
;100;12938;29873
;101;12938;29869
;102;12938;29868
;103;12938;29872
;104;12939;29872
;105;12938;29859
;106;12939;29867
;107;12939;29872
;108;12939;29872
;109;12935;29854
;110;12938;29853
;111;12938;29867
;112;12939;29867
;113;12939;29869
;114;12938;29862
;115;12938;29867
;116;12939;29870
;117;12938;29870
;118;12938;29873
;119;12939;29872
;120;12938;29851
;121;12939;29859
;122;12938;29869
;123;12939;29851
;124;12938;29864
;125;12938;29867
;126;12939;29857
;127;12938;29862
;128;12939;29867
;129;12938;29872
;130;12938;29869
;131;12938;29859
;132;12939;29872
;133;12938;29862
;134;12938;29867
;135;12939;29870
;136;12938;29869
;137;12938;29872
;138;12938;29873
;139;12938;29872
;140;12939;29873
;141;12938;29873
;142;12939;29853
;143;12938;29870
;144;12935;29867
;145;12939;29867
;146;12938;29867
;147;12936;29859
;148;12938;29867
;149;12938;29870
;150;12939;29859
;151;12938;29846
;152;12939;29853
;153;12938;29853
;154;12937;29866
;155;12938;29868
;156;12938;29870
;157;12938;29872
;158;12939;29872
;159;12936;29870
;160;12938;29870
;161;12938;29871
;162;12939;29868
;163;12939;29867
;164;12939;29870
;165;12938;29867
;166;12939;29870
;167;12939;29865
;168;12938;29862
;169;12937;29865
;170;12938;29868
;171;12937;29872
;172;12938;29867
;173;12938;29872
;174;12938;29870
;175;12938;29873
;176;12939;29862
;177;12938;29859
;178;12939;29860
;179;12937;29867
;180;12938;29870
;181;12938;29873
;182;12939;29872
;183;12937;29867
;184;12939;29873
;185;12938;29873
;186;12938;29873
;187;12939;29863
;188;12939;29859
;189;12940;29874
;190;12938;29873
;191;12939;29854
;192;12938;29867
;193;12938;29867
;194;12939;29867
;195;12938;29867
;196;12938;29867
;197;12938;29872
;198;12938;29870
;199;12938;29859
;200;12938;29862
;201;12939;29867
;202;12939;29862
;203;12939;29851
;204;12937;29860
;205;12935;29864
;206;12939;29871
;207;12938;29848
;208;12938;29873
;209;12938;29867
;210;12938;29863
;211;12938;29867
;212;12939;29870
;213;12938;29870
;214;12938;29872
;215;12938;29870
;216;12939;29870
;217;12938;29859
;218;12938;29867
;219;12938;29867
;220;12939;29867
;221;12939;29873
;222;12939;29864
;223;12939;29867
;224;12938;29873
;225;12938;29865
;226;12938;29853
;227;12936;29865
;228;12938;29873
;229;12938;29856
;230;12938;29873
;231;12938;29863
;232;12935;29859
;233;12938;29870
;234;12939;29873
;235;12938;29867
;236;12939;29862
;237;12939;29873
;238;12938;29856
;239;12937;29867
;240;12939;29866
;241;12939;29872
;242;12938;29872
;243;12939;29865
;244;12939;29867
;245;12938;29862
;246;12939;29870
;247;12938;29865
;248;12938;29872
;249;12939;29868
;250;12938;29864
;251;12938;29869
;252;12939;29857
;253;12938;29857
;254;12938;29865
;255;12937;29867
;256;12939;29857
;257;12939;29870
;258;12939;29872
;259;12936;29870
;260;12938;29873
;261;12938;29862
;262;12935;29864
;263;12939;29872
;264;12939;29867
;265;12938;29868
;266;12938;29867
;267;12939;29865
;268;12939;29872
;269;12939;29865
;270;12939;29867
;271;12939;29854
;272;12938;29873
;273;12937;29865
;274;12939;29872
;275;12938;29870
;276;12937;29863
;277;12939;29862
;278;12938;29873
;279;12938;29867
;280;12938;29873
;281;12939;29869
;282;12938;29867
;283;12938;29864
;284;12939;29861
;285;12938;29873
;286;12938;29865
;287;12938;29860
;288;12938;29872
;289;12938;29868
;290;12938;29859
;291;12938;29862
;292;12939;29873
;293;12939;29867
;294;12939;29870
;295;12939;29864
;296;12938;29869
;297;12938;29869
;298;12938;29867
;299;12938;29873
;300;12938;29872
;301;12939;29864
;302;12938;29873
;303;12938;29868
;304;12938;29859
;305;12938;29858
;306;12939;29873
;307;12938;29864
;308;12939;29867
;309;12939;29862
;310;12939;29862
;311;12935;29856
;312;12939;29872
;313;12939;29864
;314;12938;29872
;315;12938;29870
;316;12938;29873
;317;12938;29864
;318;12938;29870
;319;12938;29859
;320;12939;29868
;321;12938;29867
;322;12938;29867
;323;12938;29872
;324;12938;29860
;325;12938;29868
;326;12938;29870
;327;12939;29868
;328;12938;29873
;329;12938;29867
;330;12938;29864
;331;12938;29873
;332;12935;29870
;333;12938;29869
;334;12938;29872
;335;12938;29869
;336;12939;29857
;337;12939;29870
;338;12938;29867
;339;12938;29872
;340;12938;29863
;341;12938;29872
;342;12938;29864
;343;12938;29862
;344;12939;29862
;345;12939;29867
;346;12938;29857
;347;12938;29872
;348;12938;29864
;349;12938;29872
;350;12938;29873
;351;12939;29867
;352;12938;29870
;353;12938;29864
;354;12938;29870
;355;12939;29868
;356;12938;29868
;357;12938;29864
;358;12938;29867
;359;12938;29869
;360;12938;29862
;361;12938;29862
;362;12939;29864
;363;12938;29870
;364;12938;29867
;365;12938;29865
;366;12938;29872
;367;12938;29870
;368;12938;29872
;369;12938;29873
;370;12937;29872
;371;12939;29868
;372;12938;29865
;373;12939;29854
;374;12938;29873
;375;12938;29862
;376;12936;29865
;377;12938;29873
;378;12938;29866
;379;12938;29872
;380;12938;29872
;381;12939;29872
;382;12939;29870
;383;12938;29872
;384;12938;29873
;385;12938;29867
;386;12938;29867
;387;12938;29870
;388;12938;29872
;389;12935;29856
;390;12938;29870
;391;12938;29867
;392;12938;29867
;393;12938;29865
;394;12939;29867
;395;12939;29865
;396;12938;29864
;397;12939;29869
;398;12938;29870
;399;12939;29872
;400;12938;29869
;401;12939;29867
;402;12938;29873
;403;12938;29864
;404;12938;29867
;405;12936;29866
;406;12938;29860
;407;12938;29872
;408;12939;29854
;409;12939;29862
;410;12937;29868
;411;12938;29864
;412;12938;29867
;413;12939;29867
;414;12937;29859
;415;12939;29867
;416;12939;29872
;417;12939;29857
;418;12938;29866
;419;12938;29858
;420;12938;29872
;421;12938;29867
;422;12937;29867
;423;12938;29867
;424;12938;29869
;425;12935;29869
;426;12939;29872
;427;12939;29862
;428;12939;29867
;429;12939;29865
;430;12939;29865
;431;12938;29862
;432;12936;29868
;433;12938;29867
;434;12936;29868
;435;12938;29861
;436;12938;29859
;437;12938;29862
;438;12938;29867
;439;12938;29862
;440;12937;29856
;441;12938;29873
;442;12938;29854
;443;12938;29873
;444;12938;29867
;445;12938;29864
;446;12939;29859
;447;12936;29866
;448;12938;29868
;449;12938;29867
;450;12938;29867
;451;12938;29870
;452;12938;29865
;453;12938;29856
;454;12938;29870
;455;12938;29867
;456;12938;29870
;457;12938;29872
;458;12938;29859
;459;12938;29873
;460;12938;29866
;461;12937;29869
;462;12939;29856
;463;12939;29873
;464;12938;29868
;465;12938;29865
;466;12938;29870
;467;12937;29872
;468;12938;29866
;469;12939;29871
;470;12938;29862
;471;12938;29867
;472;12938;29867
;473;12938;29867
;474;12938;29856
;475;12939;29862
;476;12936;29870
;477;12938;29857
;478;12938;29867
;479;12939;29869
;480;12938;29856
;481;12938;29868
;482;12939;29864
;483;12938;29853
;484;12938;29867
;485;12938;29866
;486;12938;29862
;487;12938;29873
;488;12938;29870
;489;12938;29866
;490;12938;29867
;491;12938;29864
;492;12938;29873
;493;12936;29864
;494;12938;29867
;495;12938;29873
;496;12938;29859
;497;12939;29870
;498;12938;29867
;499;12938;29867
;500;12938;29862
;501;12939;29857
;502;12937;29864
;503;12938;29870
;504;12939;29867
;505;12938;29869
;506;12938;29873
;507;12938;29869
;508;12938;29871
;509;12939;29873
;510;12939;29873
;511;12938;29862
;512;12938;29868
;513;12938;29873
;514;12938;29862
;515;12939;29867
;516;12940;29859
;517;12938;29861
;518;12939;29865
;519;12938;29859
;520;12938;29869
;521;12938;29870
;522;12938;29873
;523;12938;29872
;524;12938;29869
;525;12939;29861
;526;12938;29872
;527;12938;29867
;528;12939;29869
;529;12938;29871
;530;12938;29872
;531;12938;29854
;532;12938;29872
;533;12938;29873
;534;12938;29853
;535;12937;29870
;536;12938;29867
;537;12938;29865
;538;12938;29861
;539;12939;29865
;540;12938;29873
;541;12938;29867
;542;12939;29869
;543;12937;29854
;544;12938;29873
;545;12938;29862
;546;12938;29867
;547;12939;29853
;548;12939;29851
;549;12938;29873
;550;12938;29873
;551;12935;29859
;552;12938;29870
;553;12937;29870
;554;12938;29867
;555;12938;29859
;556;12938;29867
;557;12938;29870
;558;12939;29865
;559;12939;29862
;560;12936;29867
;561;12939;29872
;562;12938;29869
;563;12939;29872
;564;12939;29871
;565;12935;29870
;566;12937;29859
;567;12938;29872
;568;12938;29868
;569;12937;29870
;570;12939;29861
;571;12938;29873
;572;12939;29861
;573;12937;29867
;574;12939;29867
;575;12938;29870
;576;12938;29860
;577;12938;29865
;578;12938;29864
;579;12937;29865
;580;12938;29862
;581;12938;29868
;582;12938;29870
;583;12938;29860
;584;12939;29870
;585;12936;29870
;586;12938;29868
;587;12938;29864
;588;12938;29862
;589;12939;29860
;590;12938;29869
;591;12938;29870
;592;12938;29870
;593;12938;29868
;594;12939;29862
;595;12938;29867
;596;12939;29867
;597;12938;29870
;598;12938;29862
;599;12939;29871
;600;12938;29870
;601;12939;29860
;602;12938;29861
;603;12939;29872
;604;12939;29859
;605;12938;29872
;606;12938;29867
;607;12938;29864
;608;12938;29862
;609;12939;29864
;610;12938;29872
;611;12938;29862
;612;12938;29869
;613;12939;29872
;614;12937;29865
;615;12935;29862
;616;12939;29857
;617;12939;29862
;618;12937;29864
;619;12938;29870
;620;12939;29870
;621;12938;29859
;622;12938;29864
;623;12938;29859
;624;12939;29873
;625;12938;29872
;626;12938;29870
;627;12938;29862
;628;12938;29868
;629;12938;29873
;630;12939;29868
;631;12938;29868
;632;12938;29859
;633;12938;29870
;634;12937;29861
;635;12938;29873
;636;12938;29856
;637;12938;29867
;638;12939;29867
;639;12938;29856
;640;12938;29868
;641;12939;29867
;642;12938;29870
;643;12939;29873
;644;12938;29868
;645;12938;29867
;646;12938;29870
;647;12938;29873
;648;12939;29857
;649;12939;29870
;650;12939;29873
;651;12939;29872
;652;12938;29873
;653;12940;29854
;654;12938;29867
;655;12938;29868
;656;12938;29872
;657;12939;29873
;658;12939;29864
;659;12938;29865
;660;12938;29871
;661;12939;29869
;662;12935;29859
;663;12939;29869
;664;12939;29872
;665;12938;29862
;666;12938;29867
