aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;11963;25780
;2;11963;25778
;3;11963;25783
;4;11964;25777
;5;11964;25782
;6;11964;25782
;7;11963;25778
;8;11963;25780
;9;11963;25771
;10;11963;25777
;11;11963;25777
;12;11963;25774
;13;11964;25780
;14;11963;25783
;15;11964;25778
;16;11963;25783
;17;11964;25772
;18;11964;25769
;19;11962;25778
;20;11963;25783
;21;11963;25777
;22;11964;25774
;23;11963;25782
;24;11963;25780
;25;11963;25779
;26;11963;25774
;27;11963;25774
;28;11963;25783
;29;11964;25782
;30;11963;25776
;31;11964;25783
;32;11962;25783
;33;11964;25783
;34;11964;25777
;35;11963;25774
;36;11964;25769
;37;11964;25783
;38;11963;25764
;39;11963;25779
;40;11964;25769
;41;11963;25777
;42;11964;25777
;43;11963;25777
;44;11963;25783
;45;11961;25775
;46;11964;25781
;47;11963;25780
;48;11963;25777
;49;11963;25783
;50;11963;25782
;51;11964;25772
;52;11963;25783
;53;11964;25780
;54;11963;25781
;55;11964;25774
;56;11964;25778
;57;11964;25771
;58;11963;25779
;59;11964;25777
;60;11963;25783
;61;11963;25781
;62;11963;25784
;63;11964;25777
;64;11963;25783
;65;11961;25766
;66;11963;25777
;67;11963;25780
;68;11963;25780
;69;11964;25777
;70;11964;25782
;71;11963;25775
;72;11964;25782
;73;11963;25777
;74;11963;25781
;75;11963;25775
;76;11964;25773
;77;11962;25775
;78;11963;25775
;79;11961;25780
;80;11961;25777
;81;11963;25774
;82;11963;25780
;83;11964;25779
;84;11963;25772
;85;11963;25782
;86;11963;25772
;87;11963;25782
;88;11963;25780
;89;11964;25780
;90;11963;25780
;91;11963;25783
;92;11964;25776
;93;11964;25758
;94;11964;25783
;95;11963;25775
;96;11963;25776
;97;11963;25780
;98;11963;25783
;99;11963;25772
;100;11964;25783
;101;11963;25779
;102;11964;25778
;103;11963;25772
;104;11964;25779
;105;11963;25783
;106;11963;25780
;107;11962;25758
;108;11964;25780
;109;11963;25781
;110;11963;25783
;111;11964;25780
;112;11963;25783
;113;11960;25780
;114;11964;25778
;115;11964;25777
;116;11964;25772
;117;11963;25782
;118;11963;25777
;119;11963;25782
;120;11963;25780
;121;11963;25783
;122;11963;25780
;123;11963;25777
;124;11963;25782
;125;11964;25783
;126;11963;25780
;127;11963;25775
;128;11964;25772
;129;11963;25777
;130;11964;25780
;131;11963;25783
;132;11963;25764
;133;11963;25772
;134;11961;25780
;135;11963;25771
;136;11963;25778
;137;11964;25777
;138;11963;25782
;139;11963;25769
;140;11964;25783
;141;11964;25772
;142;11963;25771
;143;11963;25777
;144;11964;25783
;145;11964;25782
;146;11963;25776
;147;11964;25777
;148;11963;25764
;149;11963;25777
;150;11964;25779
;151;11963;25780
;152;11961;25769
;153;11963;25777
;154;11964;25783
;155;11963;25783
;156;11964;25783
;157;11963;25779
;158;11963;25782
;159;11963;25753
;160;11964;25775
;161;11963;25779
;162;11964;25782
;163;11963;25780
;164;11961;25775
;165;11963;25780
;166;11962;25781
;167;11963;25772
;168;11963;25769
;169;11963;25780
;170;11963;25769
;171;11963;25774
;172;11963;25782
;173;11963;25783
;174;11964;25774
;175;11963;25777
;176;11963;25778
;177;11963;25777
;178;11963;25774
;179;11963;25780
;180;11964;25783
;181;11964;25780
;182;11964;25779
;183;11963;25783
;184;11962;25783
;185;11963;25780
;186;11963;25773
;187;11963;25780
;188;11963;25783
;189;11964;25783
;190;11964;25772
;191;11964;25779
;192;11963;25769
;193;11963;25777
