aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;6476;14941
;2;6476;14936
;3;6476;14934
;4;6477;14939
;5;6476;14938
;6;6476;14933
;7;6476;14938
;8;6476;14935
;9;6476;14940
;10;6476;14940
;11;6476;14935
;12;6477;14940
;13;6476;14932
;14;6477;14942
;15;6476;14939
;16;6476;14939
;17;6476;14942
;18;6476;14941
;19;6476;14934
;20;6476;14941
;21;6476;14939
;22;6476;14938
;23;6476;14939
;24;6476;14940
;25;6476;14942
;26;6475;14941
;27;6477;14942
;28;6476;14938
;29;6476;14934
;30;6475;14935
;31;6476;14941
;32;6477;14942
;33;6476;14942
;34;6476;14942
;35;6476;14942
;36;6476;14941
;37;6476;14938
;38;6476;14935
;39;6476;14941
;40;6476;14938
;41;6476;14938
;42;6476;14938
;43;6476;14938
;44;6476;14939
;45;6474;14938
;46;6476;14940
;47;6475;14940
;48;6476;14942
;49;6476;14940
;50;6475;14940
;51;6476;14941
;52;6476;14941
;53;6477;14934
;54;6477;14938
;55;6474;14934
;56;6476;14939
;57;6476;14934
;58;6476;14939
;59;6476;14941
;60;6476;14942
;61;6476;14932
;62;6476;14941
;63;6476;14940
;64;6476;14934
;65;6475;14942
;66;6477;14940
;67;6476;14939
;68;6477;14937
;69;6477;14941
;70;6476;14939
;71;6476;14938
;72;6476;14938
;73;6477;14940
;74;6476;14940
;75;6476;14937
;76;6476;14937
;77;6476;14937
;78;6476;14934
;79;6476;14938
;80;6476;14939
;81;6476;14940
;82;6476;14942
;83;6476;14937
;84;6477;14942
;85;6476;14942
;86;6476;14939
;87;6477;14941
;88;6476;14940
;89;6476;14942
;90;6476;14941
;91;6476;14942
;92;6476;14941
;93;6476;14942
;94;6476;14937
;95;6477;14934
;96;6476;14938
;97;6476;14938
;98;6476;14940
;99;6477;14937
;100;6476;14929
;101;6477;14937
;102;6476;14940
;103;6476;14942
;104;6476;14940
;105;6476;14937
;106;6476;14943
;107;6476;14940
;108;6476;14940
;109;6476;14938
;110;6476;14942
;111;6477;14937
;112;6476;14942
;113;6476;14937
;114;6476;14936
;115;6476;14939
;116;6476;14941
;117;6477;14937
;118;6476;14935
;119;6476;14937
;120;6475;14938
;121;6476;14937
;122;6476;14937
;123;6474;14940
;124;6476;14937
;125;6477;14937
;126;6477;14940
;127;6476;14940
;128;6476;14941
;129;6476;14941
;130;6476;14940
;131;6477;14941
;132;6477;14937
;133;6476;14942
;134;6476;14939
;135;6476;14942
;136;6476;14942
;137;6476;14942
;138;6476;14939
;139;6476;14937
;140;6477;14942
;141;6476;14940
;142;6476;14943
;143;6476;14942
;144;6476;14942
;145;6477;14942
;146;6476;14941
;147;6476;14941
;148;6476;14938
;149;6476;14936
;150;6477;14937
;151;6476;14940
;152;6475;14928
;153;6475;14936
;154;6476;14938
;155;6476;14938
;156;6476;14941
;157;6475;14937
;158;6476;14942
;159;6476;14940
;160;6475;14930
;161;6476;14940
;162;6475;14942
;163;6476;14941
;164;6475;14935
;165;6476;14941
;166;6477;14938
;167;6476;14941
;168;6476;14942
;169;6477;14940
;170;6475;14939
;171;6477;14941
;172;6476;14939
;173;6477;14942
;174;6476;14936
;175;6476;14937
;176;6476;14942
;177;6476;14941
;178;6477;14938
;179;6476;14942
;180;6476;14939
;181;6476;14942
;182;6476;14933
;183;6477;14938
;184;6477;14942
;185;6476;14938
;186;6476;14942
;187;6476;14943
;188;6476;14940
;189;6476;14941
;190;6477;14939
;191;6477;14941
;192;6476;14939
