aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;392;728
;2;392;728
;3;393;728
;4;393;728
;5;393;728
;6;393;728
;7;392;727
;8;393;728
;9;392;728
;10;392;727
;11;393;728
;12;393;728
;13;392;728
;14;393;728
;15;393;728
;16;392;727
;17;392;727
;18;392;727
;19;393;728
;20;393;728
;21;393;728
;22;392;728
;23;392;728
;24;392;728
;25;393;728
;26;392;727
;27;393;728
;28;393;728
;29;393;728
;30;393;728
;31;393;728
;32;392;728
;33;393;728
;34;393;728
;35;393;728
;36;393;728
;37;393;728
;38;393;728
;39;392;727
;40;393;728
;41;393;728
;42;393;728
;43;392;727
;44;393;728
;45;392;728
;46;392;727
;47;393;728
;48;393;727
;49;392;728
;50;393;728
;51;393;728
;52;392;727
;53;392;727
;54;392;727
;55;393;728
;56;393;728
;57;393;728
;58;392;728
;59;392;728
;60;392;728
;61;393;728
;62;393;728
;63;393;728
;64;393;728
;65;393;728
;66;393;728
;67;393;728
;68;392;728
;69;393;728
;70;393;728
;71;393;728
;72;393;728
;73;393;728
;74;393;728
;75;392;727
;76;393;728
;77;393;728
;78;393;728
;79;392;727
;80;393;728
;81;392;728
;82;393;728
;83;393;728
;84;393;728
;85;392;728
;86;393;728
;87;393;728
;88;392;727
;89;392;727
;90;392;727
;91;393;728
;92;393;728
;93;393;728
;94;392;728
;95;392;728
;96;392;728
;97;393;728
;98;392;727
;99;393;728
;100;393;728
;101;393;728
;102;393;728
;103;393;728
;104;392;728
;105;393;728
;106;393;728
;107;393;728
;108;393;728
;109;393;728
;110;393;728
;111;392;727
;112;393;728
;113;393;728
;114;393;728
;115;392;727
;116;393;728
;117;392;728
;118;392;727
;119;392;727
;120;393;727
;121;392;728
;122;393;728
;123;393;728
;124;392;734
;125;392;727
;126;392;727
;127;393;728
;128;393;728
;129;393;728
;130;392;728
;131;392;728
;132;392;728
;133;393;728
;134;392;727
;135;393;728
;136;393;728
;137;393;728
;138;393;728
;139;393;728
;140;392;728
;141;393;728
;142;393;728
;143;393;728
;144;393;728
;145;393;728
;146;392;728
;147;392;727
;148;393;728
;149;393;728
;150;393;728
;151;392;727
;152;393;728
;153;392;728
;154;393;728
;155;392;727
;156;393;728
;157;392;728
;158;393;728
;159;393;728
;160;392;727
;161;392;727
;162;392;727
;163;393;728
;164;393;728
;165;393;735
;166;392;728
;167;392;728
;168;392;728
;169;393;728
;170;392;727
;171;393;728
;172;393;728
;173;393;728
;174;393;728
;175;393;728
;176;392;728
;177;393;727
;178;393;728
;179;393;728
;180;393;728
