aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;6872;13830
;2;6879;13830
;3;6872;13837
;4;6871;13830
;5;6879;13830
;6;6872;13837
;7;6872;13830
;8;6878;13830
;9;6872;13837
;10;6872;13830
;11;6872;13830
;12;6872;13837
;13;6872;13837
;14;6871;13830
;15;6872;13837
;16;6871;13837
;17;6872;13830
;18;6879;13830
;19;6872;13837
;20;6871;13830
;21;6879;13830
;22;6871;13837
;23;6872;13830
;24;6879;13830
;25;6871;13837
;26;6872;13830
;27;6872;13829
;28;6872;13837
;29;6872;13837
;30;6872;13830
;31;6872;13837
;32;6872;13837
;33;6872;13830
;34;6879;13830
;35;6871;13837
;36;6871;13830
;37;6879;13829
;38;6872;13836
;39;6872;13830
;40;6878;13830
;41;6871;13837
;42;6872;13830
;43;6879;13830
;44;6872;13837
;45;6872;13837
;46;6871;13830
;47;6872;13837
;48;6872;13837
;49;6872;13830
;50;6879;13830
;51;6872;13836
;52;6872;13830
;53;6878;13830
;54;6872;13836
;55;6872;13830
;56;6878;13830
;57;6872;13837
;58;6872;13830
;59;6879;13830
;60;6871;13837
;61;6872;13830
;62;6872;13830
;63;6871;13837
;64;6872;13837
;65;6872;13830
;66;6879;13830
;67;6871;13837
;68;6871;13830
;69;6878;13830
;70;6872;13837
;71;6871;13830
;72;6879;13830
;73;6871;13837
;74;6872;13830
;75;6879;13830
;76;6871;13837
;77;6872;13830
;78;6872;13830
;79;6872;13837
;80;6871;13837
;81;6872;13830
;82;6872;13837
;83;6871;13837
;84;6871;13830
;85;6879;13830
;86;6872;13836
;87;6872;13830
;88;6879;13830
;89;6872;13837
;90;6872;13830
;91;6879;13830
;92;6871;13837
;93;6872;13830
;94;6872;13829
;95;6872;13837
;96;6871;13837
;97;6872;13830
;98;6872;13836
;99;6871;13837
;100;6872;13830
;101;6879;13830
;102;6872;13837
;103;6871;13830
;104;6879;13829
;105;6871;13837
;106;6871;13830
;107;6879;13829
;108;6871;13837
;109;6872;13830
;110;6872;13830
;111;6872;13836
;112;6871;13837
;113;6871;13830
;114;6872;13837
;115;6872;13837
;116;6871;13830
;117;6879;13830
;118;6872;13837
;119;6871;13830
;120;6879;13830
;121;6871;13837
;122;6872;13830
;123;6879;13830
;124;6871;13837
;125;6871;13830
;126;6872;13830
;127;6872;13837
;128;6872;13837
;129;6872;13830
;130;6872;13837
;131;6872;13837
;132;6871;13830
;133;6879;13830
;134;6872;13836
;135;6871;13830
;136;6879;13830
;137;6872;13837
;138;6871;13830
;139;6879;13830
;140;6871;13837
;141;6871;13830
;142;6872;13830
;143;6872;13837
;144;6872;13837
;145;6872;13830
;146;6872;13837
;147;6872;13837
;148;6872;13830
;149;6878;13830
;150;6872;13836
;151;6871;13830
;152;6879;13830
;153;6871;13837
;154;6871;13830
;155;6879;13830
;156;6871;13837
;157;6872;13830
;158;6872;13830
;159;6872;13837
;160;6871;13837
;161;6871;13830
;162;6872;13837
;163;6872;13837
;164;6872;13830
;165;6878;13830
;166;6872;13837
;167;6871;13830
;168;6879;13830
;169;6872;13836
;170;6872;13830
;171;6878;13830
;172;6871;13837
;173;6872;13830
;174;6872;13830
;175;6872;13836
;176;6872;13837
;177;6872;13830
;178;6872;13837
;179;6872;13837
;180;6872;13830
;181;6879;13830
;182;6871;13837
;183;6872;13830
;184;6878;13830
;185;6872;13836
;186;6872;13830
;187;6878;13830
;188;6871;13837
;189;6872;13830
;190;6872;13830
;191;6871;13837
;192;6871;13837
;193;6871;13830
;194;6872;13837
;195;6872;13837
;196;6871;13830
;197;6879;13830
;198;6871;13837
;199;6872;13830
;200;6878;13830
;201;6871;13837
;202;6872;13830
;203;6878;13830
;204;6871;13837
;205;6872;13830
;206;6872;13830
;207;6872;13837
;208;6872;13837
;209;6871;13830
;210;6872;13837
;211;6872;13837
;212;6871;13830
;213;6879;13830
;214;6872;13837
;215;6871;13830
;216;6879;13830
;217;6872;13837
;218;6872;13830
;219;6879;13830
;220;6871;13837
;221;6872;13830
;222;6872;13830
;223;6871;13837
;224;6871;13837
;225;6871;13830
;226;6879;13830
;227;6871;13837
;228;6872;13830
;229;6878;13830
;230;6872;13837
;231;6871;13830
;232;6879;13830
;233;6872;13836
;234;6871;13830
;235;6879;13830
;236;6871;13837
;237;6872;13830
;238;6872;13830
;239;6872;13837
;240;6871;13837
;241;6871;13830
;242;6879;13830
;243;6872;13837
;244;6871;13830
;245;6879;13830
;246;6872;13837
;247;6871;13830
;248;6879;13830
;249;6871;13837
;250;6872;13830
;251;6878;13830
;252;6871;13837
;253;6872;13830
;254;6872;13830
;255;6872;13837
;256;6872;13837
;257;6871;13830
;258;6879;13830
;259;6872;13837
;260;6872;13830
;261;6878;13830
;262;6872;13837
;263;6872;13830
;264;6879;13830
;265;6872;13837
;266;6872;13830
;267;6878;13830
;268;6872;13836
;269;6872;13830
;270;6872;13830
;271;6871;13837
;272;6871;13837
;273;6872;13830
;274;6878;13830
;275;6871;13837
;276;6872;13830
;277;6878;13830
;278;6871;13837
;279;6871;13830
;280;6879;13830
;281;6872;13837
;282;6872;13830
;283;6878;13830
;284;6871;13837
;285;6871;13830
;286;6872;13830
;287;6871;13837
;288;6872;13837
;289;6871;13830
;290;6879;13830
;291;6871;13837
;292;6871;13830
;293;6879;13830
;294;6871;13837
;295;6872;13830
;296;6878;13830
;297;6872;13837
;298;6872;13830
;299;6879;13830
;300;6872;13836
;301;6871;13830
;302;6872;13830
;303;6871;13837
;304;6872;13837
;305;6871;13830
;306;6879;13830
;307;6872;13837
;308;6871;13830
;309;6879;13830
;310;6871;13837
;311;6872;13830
;312;6878;13830
;313;6872;13836
;314;6871;13830
;315;6879;13830
;316;6872;13837
;317;6871;13830
;318;6872;13830
;319;6871;13837
;320;6872;13837
;321;6871;13830
;322;6879;13830
;323;6871;13837
;324;6872;13830
;325;6878;13830
;326;6872;13836
;327;6871;13830
;328;6879;13830
;329;6871;13837
;330;6872;13830
;331;6878;13830
;332;6872;13837
;333;6871;13830
;334;6872;13830
;335;6871;13837
;336;6871;13837
;337;6871;13830
;338;6879;13830
;339;6872;13837
;340;6871;13830
;341;6879;13829
;342;6872;13837
;343;6871;13830
;344;6879;13830
;345;6872;13837
;346;6871;13830
;347;6879;13830
;348;6872;13837
;349;6872;13830
;350;6872;13830
;351;6872;13837
;352;6871;13837
;353;6872;13830
;354;6878;13830
;355;6871;13837
;356;6871;13830
;357;6879;13830
;358;6872;13837
;359;6871;13830
;360;6879;13830
;361;6872;13837
;362;6871;13830
;363;6879;13830
;364;6872;13837
;365;6872;13830
;366;6872;13830
;367;6872;13837
;368;6872;13837
;369;6872;13830
;370;6879;13830
;371;6871;13837
;372;6872;13830
;373;6878;13830
;374;6871;13837
;375;6872;13830
;376;6878;13830
;377;6872;13837
;378;6871;13830
;379;6879;13830
;380;6871;13837
;381;6872;13830
