aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;760;1622
;2;760;1622
;3;760;1622
;4;761;1622
;5;761;1622
;6;761;1621
;7;761;1622
;8;761;1622
;9;761;1622
;10;760;1622
;11;761;1622
;12;760;1622
;13;761;1621
;14;761;1622
;15;760;1621
;16;761;1622
;17;761;1622
;18;761;1621
;19;760;1622
;20;760;1621
;21;760;1622
;22;761;1621
;23;761;1621
;24;760;1622
;25;760;1622
;26;761;1622
;27;761;1621
;28;760;1622
;29;761;1622
;30;761;1622
;31;761;1622
;32;760;1621
;33;760;1621
;34;761;1621
;35;760;1622
;36;760;1621
;37;760;1622
;38;761;1621
;39;761;1622
;40;761;1622
;41;761;1622
;42;760;1622
;43;760;1622
;44;761;1622
;45;761;1622
;46;761;1621
;47;761;1622
;48;761;1622
;49;761;1622
;50;761;1622
;51;760;1622
;52;760;1621
;53;761;1622
;54;760;1622
;55;760;1622
;56;761;1622
;57;760;1622
;58;760;1622
;59;761;1622
;60;760;1622
;61;761;1622
;62;760;1622
;63;761;1622
;64;761;1622
;65;760;1622
;66;760;1622
;67;760;1622
;68;760;1621
;69;760;1621
;70;760;1621
;71;760;1621
;72;760;1622
;73;760;1620
;74;760;1622
;75;760;1622
;76;760;1621
;77;760;1621
;78;760;1621
;79;761;1621
;80;760;1622
;81;760;1622
;82;760;1622
;83;760;1621
;84;761;1621
;85;761;1622
;86;761;1621
;87;761;1622
;88;761;1622
;89;761;1621
;90;761;1622
;91;760;1622
;92;760;1622
;93;761;1621
;94;761;1622
;95;761;1622
;96;760;1621
;97;760;1622
;98;760;1622
;99;761;1621
;100;760;1622
;101;761;1621
;102;760;1621
;103;760;1621
;104;760;1622
;105;761;1622
;106;760;1621
;107;760;1622
;108;761;1622
;109;760;1622
;110;760;1622
;111;761;1622
;112;761;1622
;113;761;1621
;114;761;1622
;115;760;1621
;116;760;1621
;117;761;1622
;118;761;1622
;119;760;1621
;120;760;1621
;121;761;1622
;122;760;1621
;123;760;1622
;124;760;1622
;125;761;1622
;126;761;1621
;127;761;1621
;128;760;1621
;129;760;1621
;130;760;1622
;131;761;1621
;132;761;1622
;133;761;1622
;134;761;1621
;135;761;1622
;136;761;1621
;137;760;1621
;138;760;1622
;139;760;1622
;140;761;1621
;141;760;1622
;142;760;1622
;143;760;1622
;144;761;1622
;145;760;1621
;146;761;1622
;147;761;1622
